¿Qué es un algoritmo?,4.67
¿Qué diferencia hay entre hardware y software?,4.50
¿Qué es un sistema de información?,5.00
¿Qué implica pensar críticamente?,4.33
¿Qué es un sistema abierto?,4.67
¿Qué es una recta perpendicular?,4.00
Verdadero o falso. Las tuplas son inmutables?,5.00
¿Qué estructura se usa para repetir código?,4.00
¿Qué es una proyección ortogonal?,5.00
¿Qué es un conjunto?,4.67
Formula para el oxido ferrico?,5.00
¿Qué es una matriz identidad?,5.00
¿Qué es una función recursiva?,4.33
¿Qué es un ERP?,5.00
¿Qué es un proceso?,4.50
¿Qué hace el planificador del sistema operativo?,5.00
¿Qué dice la segunda ley de Newton?,5.00
¿Cuál es la derivada de x²?,5.00
¿Qué es un patrón de diseño?,4.67
¿Qué es la herencia?,5.00
¿Qué es la modulación?,4.50
¿Qué es un ETL?,4.67
¿Qué es una integral definida?,5.00
¿Qué es Scrum?,5.00
¿Cuál es el objetivo del seminario?,4.00
¿Qué capa del modelo OSI usa TCP?,5.00
¿Qué es un data warehouse?,5.00
¿Qué mide la desviación estándar?,4.33
¿Qué significa 'throughout'?,5.00
¿Qué es UX?,4.67
¿Qué es un caso de uso?,5.00
¿Qué es la ley de Coulomb?,4.50
¿Qué es un autómata finito?,5.00
¿Qué es la regresión lineal?,5.00
¿Qué es una API REST?,4.67
¿Qué es un diagrama de Gantt?,4.50
¿Qué es un modelo supervisado?,5.00
¿Qué es el cifrado simétrico?,5.00
¿Qué es una simulación discreta?,4.50
¿Qué es una SPA?,5.00
¿Qué es el ROI?,4.67
¿Qué es una red neuronal?,5.00
¿Qué es la huella de carbono?,4.50
¿Cuál es el objetivo de la PPS?,5.00
¿Qué define una materia optativa?,4.33
¿Qué es una arquitectura en microservicios?,5.00
¿Qué es la computación cuántica?,5.00
¿Qué busca el proyecto final?,4.67
¿Qué es un test unitario?,5.00
¿Qué se busca en una optativa?,4.50
¿Qué es un MVP?,5.00
¿Qué es la innovación disruptiva?,5.00
¿Qué es la Ley de Protección de Datos Personales?,4.50
¿Qué caracteriza a una optativa 3?,4.50
